"Title","Authors","Year","Abstract","DOI","Document type"
"The Practice of Collaborative Learning Strategy in Logistics Engineering Teaching under Network Circumstance","Y. Ye; H. Luo","2009","One of the key challenges in the promotion of Web-based learning is the development of effective collaborative learning environments. Empirical studies have more recently started to focus less on establishing parameters for effective collaboration and more on trying to understand the role which such variables play in mediating interaction. The procedures and methods of collaborative learning mode, supported by computers in logistics engineering teaching under network circumstance are introduced in this paper. We propose a logistics engineering-based learning models and frameworks. The task-based collaborative learning mode, as the writers have proposed, is convenient for teachers to guide and supervise the students. This mode is advantageous to create a better learning circumstance and develop students' over all qualities.","10.1109/CISE.2009.5365268","IEEE Conferences"
"Effective Materials for Abstract Words in Foreign Vocabulary Learning","T. Kayama; K. Kaneko; H. Miyakoda; M. Ishikawa","2010","In an autonomous and collaborative learning environment where learners participate in learning material creation, it is difficult to accumulate materials for abstract words. In this study, we first define the abstraction level of words as well as its measurement method. Next, we prove that learners feel it difficult to create materials for abstract words. Finally, we pre-pare materials based on still images and movies, and compare their learning effect with respect to the abstraction levels of corresponding words to find effective materials for abstract words.","10.1109/WMUTE.2010.46","IEEE Conferences"
"An objective function for performance measurement of human-robot target recognition systems in unstructured environments","A. Bechar; Y. Edan; J. Meyer","2004","Robotic systems for unstructured environments need to cope with rapid changes in time and space, inherent uncertainty, and generate unpredictable and dynamic situations, resulting in lack of information, due to inadequate sensor accuracy and computational limitations. Introduction of a human operator (HO) into the system can help simplify the robotic system and ensure improved performance. In the current study we developed an objective function for different levels of HO-robot collaboration in a target recognition task. The objective function considers several HO and robot parameters, which contribute to the overall performance in each level of collaboration. Results indicate that HO-robot collaboration improves system performance in many conditions. The optimal collaboration level depends on image complexity and on robot and HO characteristics. Some of the latter have to be assessed through behavioral research on HOs.","10.1109/ICSMC.2004.1398284","IEEE Conferences"
"CMC and the question of democratisation: a university field study","D. Cecez-Kecmanovic; L. Treleaven; D. Moodie","2000","The potential of computer mediated communication (CMC) to enable new forms of social interaction and foster democratisation of decision making has raised much interest but has been challenged by contradictory research results. Conceived as a tool, CMC was examined in terms of its social effects, thus indicating a degree of technological determinism. We explore CMC as an extension of a productive social space of linguistically-mediated interaction, drawing on J. Habermas's (1984; 1987) theory of communicative action. By examining the evidence from a field study of a university, we identify how participants appropriate CMC to produce a consultative discourse motivated by divergent agendas. This investigation helps us better understand communicative practice and concurrent tendencies of CMC towards encouraging and obstructing democratisation.","10.1109/HICSS.2000.926590","IEEE Conferences"
"A Collaborative Task Modeling Approach Based on Extended GOMS","L. Liang; X. Deng","2009","Usability evaluation is traditionally used in the late stage of software development process. However, to some high-cost complex distributed collaborative software, such late-usability-evaluation or single-user-oriented usability inspection are unsuitable in modern situation. The early stage of evaluation always relies on a task model (interface model) to simulate the actions of real user. However, the existing task analysis models neither provide enough support to the high-level use-context, nor address the low-level description of the basic unit of collaborative behavior (such two level factors always have great effect on the usability of collaborative software). Thus, this paper analyzed the limitation of the traditional GOMS method, and then put forward a task modeling approach based on GOMS to fit usability evaluation in collaborative environment. This approach cost less, and is easy to be applied in the early development stage to discover and modify usability problems.","10.1109/ICECT.2009.88","IEEE Conferences"
"Construct Innovative Laboratory, Promote Quality-Oriented Education","L. Ding; X. Li; J. Lû","2008","The rapid development of science and technology provides better educational environment and conditions for both learners and teachers. Nowadays quality-oriented education is advocated in China, which aims at cultivating all-round developed students. Collaborative learning helps to promote quality-oriented education and studentspsila all-around development. Constructing innovative laboratory is a nice way to achieve collaborative learning. This paper probes into constructing a more interesting and efficient learning environment through mobile robotics, which provides a motivating and innovative platform for performing laboratory experiments. Innovative experiments enable students to have better understanding of multidiscipline. Innovative design process also constructs efficient collaborative learning environment to cultivate studentspsila group spirit, creativity, collaboration, practicing skill, innate ability and personality. Results indicate that students enjoy learning through innovative experiments.","10.1109/ETTandGRS.2008.223","IEEE Conferences"
"Intelligent knowledge sharing for agricultural information","C. J. Kolte; A. Shrivas","2017","In collaborative environments, users may try to acquire required similar information on the Web in order to gain knowledge in one domain. For example, in an organization several departments may successively need to buy business intelligence software and employees may have studied online about different business intelligence tools and their features independently. It will be beneficial to get them connected and share learned knowledge. We investigate fine-grained knowledge sharing in collaborative environments. A two-step framework is proposed for mining fine-grained knowledge: (a) Web surfing data is clustered into categories by a non-parametric generative model; (b) a Support Vector Machine model is developed to mine fine-grained aspects in each task. Finally, the classic expert search method is applied to the mined results for knowledge sharing. Web surfing Agricultural data is collected to show that the fine-grained aspect mining framework works as expected and outperforms baselines. The search accuracy improves significantly when it is integrated with expert search, in comparison with applying the classic expert search method directly on Web surfing data.","10.1109/ICOEI.2017.8300906","IEEE Conferences"
"Development of software with cloud computing in 3TZ collaborative team environment","Z. Chaczko; S. Aslanzadeh; R. Klempous","2011","In the global economy, we have seen a decrease in the barriers towards communication across the globe along with an increase of service availability to support this communication. Software development is one discipline that is capable of effectively utilizing and benefiting from global collaboration prospect lent by ever increasing capability of information and communication technology. 24-hour continues development is ideal for application towards tasks that have hard-deadlines or require work completed as soon as possible. This article will mainly focus on introducing 24/7 global models that can be applied in cloud environment used in three different time zones. The case study related to developing agricultural software has been investigated in this article.","10.1109/IB2Com.2011.6217935","IEEE Conferences"
"The history of hacking SIGMA: An autonomous and collaborative vocabulary learning system","K. Kaneko; H. Miyakoda","2011","In this paper, we recapitulate the history of hacking the SIGMA system, an autonomous and collaborative vocabulary learning system, over five years. The results obtained from various evaluation experiments have shown that (1) the vocabulary learning materials created by the SIGMA system are effective in enhancing vocabulary attainment; (2) the materials created not only by instructors but by the learners themselves are effective as learning tools; (3) the evaluation results that learners share in the system are actually helpful in allowing the users to select materials that enhance vocabulary learning.","10.1109/JCSSE.2011.5930159","IEEE Conferences"
"Design and evaluation of a wiki-based collaborative learning environment for colleges computers compulsory education","L. Jiake; Z. Wei; W. Xuan","2010","Collaboration becomes an essential competency in the current knowledge society. College computers compulsory education, which aims to train and develop students from non-computer science disciplines computer application skills, is one of the most important parts of higher education in china. Although a lot of advanced technologies and learning platforms over the past years have been introduction in this field, most of them however just focused on interactive, personalized instruction effectiveness and little attention has been given to examine how collective learning can be offered, coordinated and assessed. As one of the most popular web2.0 technologies, wiki is believed to have large potential for fostering collaborative group work and creating learning resources. In this study, a Wiki-based collaborative learning environment for one college compulsory course entitled “Visual Basic Programming Design” was presented. Three important learning strategies including collaborative and knowledge sharing, monitoring learning process and individual accountability were adopted to assist the development of a collaborative learning community. Evaluations results showed that wiki-based learning environment can effectively contribute to group collaboration, coordination and monitoring learning process. And it can help to control of organizations or instructors to individuals (students).","10.1109/ICCSE.2010.5593516","IEEE Conferences"
"Deriving Roles and Groups from Activities and Habitats","P. Nowack; J. Appel; K. Nielsen","2005","We consider the experimental development of collaborating robots able to work within fields of crops. The design of the system combines traditional approaches such as multi-agent systems with novel approaches such as the identification and design of informational and physical activities and habitats. We propose to design efficient organizations of robot-agents based on group-based roles. The groups and roles are defined based on the activities and habitats, in which the robot-agents participate","10.1109/ICSMC.2005.1571373","IEEE Conferences"
"A Collaborative Ontology Construction Tool with Conflicts Detection","Y. Chen; S. Zhang; X. Peng; W. Zhao","2008","Ontology construction itself is a big challenge, especially when the ontology is expected to have relevance and value to a broad audience. In recent years, many collaborative methods for ontology construction are proposed. However, whenever there is collaborative developments there are conflicts. Current collaborative methods are suitable for teamwork, but they are ineffective if the team is big and lacks communication. In this paper, we introduce the tool we establish for collaborative ontology construction, as well as collaborative conflict detection method.","10.1109/SKG.2008.9","IEEE Conferences"
"Table of contents",,"2014","The following topics are dealt with: data mining; Japanese WordNet synonym misplacement detection; social network; recommender system; sentiment analysis; workshop-based instruction; Japanese public libraries; machine learning methods; collaborative Web presentation support system; SMS4 ultracompact hardware implementation; wireless sensor networks; personalized public transportation recommendation system; adaptive user interface; NIS-Apriori algorithm; GetRNIA software tool; rough set-based rule generation; tree-Ga bump hunting; neural network model; weighted citation network analysis; sound proofing ventilation unit; touch interaction; mutually dependent Markov decision processes; ozone treatment; dynamic query optimization; big data; learner activity recognition; IoT-security approach; nutrition-based vegetable production; farm product cultivation; polynomial time mat learning; C-deterministic regular formal graph system; article abstract key expression extraction; English text comprehension; online social games; knowledge creation; knowledge utilization; online stock trading; customer behavior analysis; project-based collaborative learning; in-field mobile game-based learning activities; e-portfolio system design; self-regulated learning ontological model; mobile augmented reality based scaffolding platform; context-aware mobile Japanese conversation learning system; English writing error classification; image processing; outside-class learning; exercise-centric teaching materials; UML modeling; online historical document reading literacy; MMORPG-based learning environment; computer courses; undergraduate education; energy management system; higher education; decentralised auction-based bandwidth allocation; wireless networked control systems; resource scheduling algorithm; embedded cloud computing; Poisson distribution; Japanese seismic activity; suspect vehicle detection; 3D network traffic visualization; Web information retrieval; agent based disaster evacuation assist system; electroencephalogram; random number generator; multiagent simulations; multicore environment; CPU scheduler; multithreaded processes; reserve-price biddings; real-time traffic signal control; evolutionary computation; robot-assisted rehabilitation system; hybrid automata; Batik motif classification; color-texture-based feature extraction; backpropagation; multimedia storytelling; e-tourism service; Web mining; search engine; simulation-based e-learning mobile application software; library classification training system; WebQuest learning strategy; context-aware ubiquitous English learning; support vector machine; RFID tag ownership transfer protocol; cognitive linguistics; collaborative software engineering learning; write-access reduction method; NVM-DRAM hybrid memory; garbage collection; parallel indexing scheme; lazy-updating snoop cache protocol; distributed storage system; ITS application; software engineering education; ophthalmic multimodal imaging system; injected bug classification; secure live virtual machine migration; flash memory management; genetic programming; heterogeneous databases; time series similarity search; concurrency control program generation; incremental data migration; multidatabase system; software release time decision making; analytic hierarchy process; interactive genetic algorithm; biometric intelligence; talking robots; archaeological ruin analysis; GIS; optical wireless pedestrian-support systems; visual impairment; extreme programming; Japanese e-commerce Web sites; Chinese sign language animation; hearing-impaired people mammography inspection; geographical maps; electroculogram; XML element retrieval technique; image recognition; reinforcement learning; ECU formal verification; gasoline direct injection engines; earthquake disaster simulation; smart devices for autistic children; RoboCup rescue simulation; inductive logic programming; master-slave asynchronous evolutionary hybrid algorithm; VANET routing optimization; and Web image sharing services.","10.1109/IIAI-AAI.2014.4","IEEE Conferences"
