Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
A CSCL model based on MAS and group awareness,Yan Zhang; Jing Xu,"School of Computer Science and Technology, China University of Mining and Technology, Xuzhou, China; Modern Education Technology Center, XuZhou Normal University, China",2010 International Conference on Computer and Communication Technologies in Agriculture Engineering,12-Aug-10,2010,1,,124,127,"Regarding the lack of effective awareness mechanisms in present CSCL, the application of learning-Agent which has awareness function model to the CSCL was proposed. The function of awareness intensity was defined, and the process of awareness information was described. Some general problems in present CSCL, such as poor performance of group interaction, and disorder of awareness information, were solved by giving a better solution.",2161-1092;2161-1106,978-1-4244-6947-5978-1-4244-6944-4978-1-4244-6946,10.1109/CCTAE.2010.5543651,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5543651,multi-agent systems;collaborative learning;group awareness;task decomposition;awareness strength,Computational modeling;Lead;OWL;Computers,groupware;learning (artificial intelligence);multi-agent systems,CSCL model;group awareness;multi-agent system;awareness mechanism;learning agent;awareness function model;awareness intensity function;computer supported collaborative learning,,,6,,,,12-13 June 2010,12-13 June 2010,IEEE,IEEE Conferences
"A framework for collaborative, adaptive and cost sensitive intrusion response system",A. J. Ikuomola; A. S. Sodiya; J. O. Nehinbe,"Department of Computer Science, University of [::Agriculture::] Abeokuta, Ogun State, Nigeria; Department of Computer Science, University of [::Agriculture::] Abeokuta, Ogun State, Nigeria; Department of Computer Science, University of Essex, United Kingdom",2010 2nd Computer Science and Electronic Engineering Conference (CEEC),21-Oct-10,2010,,,1,4,"In recent years, the security issues on computer networks have become one of the primary concerns because the pervasiveness of computer technology has rendered computer networks to be more vulnerable to attacks than ever before. It is necessary to take corrective actions in the process of detecting surreptitious attacks to ensure proper safety of the entire system. However, effective post-intrusive actions depend on integrated efforts of experts and systems and a thorough understanding of intrusion detection processes. Therefore, this work aims to strike a balance between damages made by the intrusion and cost of response. Cost-Sensitive modeling approach will be used so as to define the cost factors involved. The prototype of the design is briefly discussed.",,978-1-4244-9030-1978-1-4244-9029-5978-1-4244-9028,10.1109/CEEC.2010.5606485,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5606485,Intrusion detections;Intrusion Detection System;Intrusion Response System;false alarms;missed alarms,Intrusion detection;Computer networks;Computers;Databases;Computational modeling;Engines,computer network security;groupware,cost sensitive intrusion response system;computer network security;surreptitious attack detection;post-intrusive action;intrusion detection;collaborative system,,,9,,,,8-9 Sept. 2010,8-9 Sept. 2010,IEEE,IEEE Conferences
Collaborative effort in the Frascati Living Lab,E. Schoepfer; A. Rossi; F. Bertoldi; L. Fusco; R. Santoro,"European Space Agency, ESRIN, Via Galileo Galilei, 00044 Frascati (Rome), Italy; European Space Agency, ESRIN, Via Galileo Galilei, 00044 Frascati (Rome), Italy; European Space Agency, ESRIN, Via Galileo Galilei, 00044 Frascati (Rome), Italy; European Space Agency, ESRIN, Via Galileo Galilei, 00044 Frascati (Rome), Italy; ESoCE NET President, Viale Cortina d'Ampezzo 164, 00135 Rome, Italy",2008 IEEE International Technology Management Conference (ICE),28-Apr-16,2008,,,1,8,"Living labs are innovation platforms that bring together and involve all stakeholders, such as end-users, researchers, industrialists, policy makers, etc., at the earlier stage of the innovation process, in order to experiment breakthrough concepts and potential value for both the society and users. The Frascati Living Lab (partner of the ENoLL since 2006) aims to experiment a dynamic dedicated collaborative platform to support the development in real life scenarios, experimentation and operations of innovative applications involving incubation processes and more traditional applications in sectors such as environment, [::agriculture::] and tourism as well as eProfessional services. The paper introduces the basic collaborative elements (users, services and data) and stresses on the relationships among them. Based on a pilot use case for precision farming the experience of collaborative effort within the Frascati Living Lab is illustrated and discussed.",,978-0-85358-244,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7462131,Living Lab;collaboration;basic collaborative elements;precision farming;Frascati,Collaboration;Technological innovation;Europe;Stakeholders;Team working;Agriculture,farming;groupware;production engineering computing,Frascati Living Lab;innovation platform;dynamic dedicated collaborative platform;incubation process;precision farming,,,2,,,,23-28 June 2008,23-28 June 2008,IEEE,IEEE Conferences
Collaborative works at farmer's market with ICT support,T. Takeno; M. Horikawa; M. Sugawara,"Iwate Prefectural University, 152-52 Sugo Takizawa, Iwate, 020-0193 Japan; Iwate Prefectural University, 152-52 Sugo Takizawa, Iwate, 020-0193 Japan; Iwate Prefectural University, 152-52 Sugo Takizawa, Iwate, 020-0193 Japan",2008 IEEE International Technology Management Conference (ICE),28-Apr-16,2008,,,1,8,"Recently farmer's market obtains attention of consumer as an alternative distribution channel for green vegetables and fruits in Japan. The market is managed as collaborative enterprise of independent farmers of which most of them are small-scale and aged. We have proposed a business model for the market and implemented information systems of inventory control and web promotion. The system is characterized with e-mail stock level notification by mobile phone and easy maintenance of contents such as text and pictures for aged farmers in web pages. We have introduced proposed model and system into actual farmer's market with several explanatory meetings and trainings to use PC. With one year operation in the market, we have achieved about 10% increase in visiting consumers and annual sales.",,978-0-85358-244,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7462017,Information Systems;Small and Medium Enterprises;Mobile Application,Inventory control;Information systems;Servers;Aging;Electronic mail;Agricultural products,agriculture;electronic mail;groupware;Internet;mobile computing;stock control,collaborative works;farmer's market;ICT support;green vegetables;fruits;Japan;collaborative enterprise;business model;information systems;inventory control;Web promotion;e-mail stock level notification;mobile phone,,,2,,,,23-28 June 2008,23-28 June 2008,IEEE,IEEE Conferences
Development of a Knowledge Management System Integrated with Local Communication Channels and Knowledge Management Initiatives for Kenyan Rural Farming Communities,N. M. A. E. D. Wirastuti; R. Luckin; R. E. Sheriff; K. Walker; J. Underwood; L. Dunckley,NA; NA; NA; NA; NA; NA,"Fifth IEEE International Conference on Wireless, Mobile, and Ubiquitous Technology in Education (wmute 2008)",15-Apr-08,2008,,,135,142,"This paper presents an innovative application of wireless, mobile and ubiquitous technologies to support informal and collaborative learning in Kenyan rural farming communities. Such an approach is achieved by the development of a knowledge management system (KMS) integrated with existing local community communication channels, together with experimental knowledge management (KM) initiatives employing the VeSeL (Village e-Science for Life) distributed resource kits (DRKs). The initiatives support illiterate and semi-literate farming community groups, in learning new [::agriculture::] practices, and also enable the use of advanced digital technology to improve their agricultural practices and literacy levels. Results of a recent field trip to Kenya are presented and an application sketch is developed. The process of applying wireless and Internet technologies for the education of local farming communities, using irrigation and water management as the application, concludes the paper.",,978-0-7695-3108-30-7695-3108,10.1109/WMUTE.2008.18,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4489800,Knowledge Management System;Distributed Resource Kit;Farming Community;Agriculture;Wireless;Internet;Drupal,Knowledge management;Communication channels;Appropriate technology;Educational technology;Telecommunication services;Isolation technology;Communities;Satellite communication;Collaborative work;Agriculture,computer aided instruction;farming;groupware;Internet;knowledge management,knowledge management system;local communication channels;Kenyan rural farming communities;innovative application;wireless technologies;mobile technologies;ubiquitous technologies;informal learning;collaborative learning;VeSeL;Village e-Science for Life;distributed resource kits;advanced digital technology;Internet technologies;local farming education;irrigation management;water management,,5,7,,,,23-26 March 2008,23-26 March 2008,IEEE,IEEE Conferences
Technology of agent-based crop collaborative simulation and management decision,Z. Ye-ping; L. Sheng-ping,"Agricultural Information Institute, Chinese Academy of Agricultural Sciences, Beijing, China, P.R. China, 100081; Agricultural Information Institute, Chinese Academy of Agricultural Sciences, Beijing, China, P.R. China, 100081",The 3rd International Conference on Data Mining and Intelligent Information Technology Applications,22-Dec-11,2011,,,158,162,"In distributed networking environments, traditional agricultural information systems perform weakly on complex decision problems. To deal with that, for the agent technique has the characteristics of intelligence, interaction and collaboration, a new technique of the agent-based cooperative crop simulation and the design and implement of its decision support system are proposed. The collaborative crop simulation framework and its collaboration mechanism are introduced, which will offer a new way for crop information sharing, software sharing, collaborative working and group decision making in distributed environments.",,978-89-88678-49-7978-1-4673-0231,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6108419,,Agriculture;Collaboration;Decision making;Biological system modeling;Predictive models;Data models,agriculture;crops;decision support systems;distributed processing;groupware;information management;multi-agent systems,agent-based crop collaborative simulation;agent-based crop management decision;distributed networking environment;agricultural information system;agent technique;decision support system;crop information sharing;software sharing;collaborative work;group decision making;distributed environment,,,13,,,,24-26 Oct. 2011,24-26 Oct. 2011,IEEE,IEEE Conferences
Value Chain Creation through Digital Innovation: The Ebb and Flow of Communality and Connectivity in a Networked Interorganizational System,K. Guth; M. S. Poole,NA; NA,2015 48th Hawaii International Conference on System Sciences,30-Mar-15,2015,,,4191,4200,"Communality and connectivity are types of public goods offered in online spaces. As theoretical concepts, they provide design insight for the creation and understanding of interorganizational collaboration tools in multisided networks and value chains. In this paper, we present an extension of communality and connectivity that enables an examination of how organizations create value with networked organization-to-organization (O2O) systems. We use the framework as a lens for a case study involving the historical development of an online technology and its organization (MarketMaker) over 16 years that reframed the backbone of the agricultural market in the U.S. From a supply chain to a network. MarketMaker successfully interwove consumers, farmers, universities, government agencies, and states based on its innovation to connect stakeholders in novel ways around information and communication. As a central system in reconfiguring the value chain, MarketMaker provided services to the food industry not previously enabled. A number of important lessons learned about effective use of communality and connectivity are discussed.",1530-1605,978-1-4799-7367,10.1109/HICSS.2015.502,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7070321,communality;connectivity;interorganizational;network;value chain,Communities;Interviews;Agriculture;Technological innovation;Organizations;Supply chains,agriculture;groupware;innovation management;organisational aspects;supply chain management,value chain creation;digital innovation;networked interorganizational system;public goods;online spaces;interorganizational collaboration tools;multisided networks;communality extension;connectivity extension;networked organization-to-organization systems;O2O systems;historical development;online technology;MarketMaker;agricultural market;supply chain;information and communication;food industry,,1,23,,,,5-8 Jan. 2015,5-8 Jan. 2015,IEEE,IEEE Conferences
A Visual Computer Simulator and its Applications to An ICT-based Higher Education,Y. Imai; K. Kaneko; M. Nakagawa,"an associate professor at Kagawa University, 2217-20 Hayashi-cho, Takamatsu-shi, Kagawa, 761-0396 Japan, phone: +81-87-864-2244; fax: +81-87-864-2244; e-mail: imai@eng.kagawa-u.ac.jp.; Associate professor, Tokyo University of [::Agriculture::] and Technology, 2-24-16 Naka-cho, Koganei-shi, Tokyo, 184-8588 Japan. e-mail: klkaneko@cc.tuat.ac.jp.; Professor, Tokyo University of [::Agriculture::] and Technology, 2-24-16 Naka-cho, Koganei-shi, Tokyo, 184-8588 Japan. e-mail: nakagawa@cc.tuat.ac.jp.",2006 7th International Conference on Information Technology Based Higher Education and Training,2-Apr-07,2006,,,nil13,nil20,"A visual computer simulator, called ""VisuSim"", has been developed and applied to real education for Computer Science at Kagawa University. It is one of educational tools associated with lectures on computer architecture and assembly programming. The simulator is written in the pure Java programming language, executed in several kinds of environment (free for types of OS and CPU) and invoked in the applet mode as well as in the stand-alone one. Typical usages of our simulator are two-fold. Teachers employ our simulator, ""VisuSim"" to demonstrate visually how a computer processes its program. Students use the simulators in class or access our Website, download ""VisuSim"", and invoke applet-based ""VisuSim"" on their browsers. After receiving feedback from users, we have provided communication support facility as a new function of ""VisuSim"". With such a communication facility, can send their programs, ask questions on them to their classmates and the classmates can test received programs with their ""VisuSim"" to think together about the questions",,1-4244-0405-31-4244-0406,10.1109/ITHET.2006.339722,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4141731,Educational tool;Collaborative learning;Visual simulator;Java programming language;Computer literacy,Computational modeling;Computer simulation;Application software;Computer science education;Educational programs;Computer science;Computer architecture;Assembly;Programming profession;Java,assembly language;computer aided instruction;computer architecture;computer science education;data visualisation;groupware;Java,visual computer simulator;ICT-based higher education;VisuSim;computer science education;educational tool;computer architecture;assembly programming;Java programming;Java applet;teaching;communication facility;collaborative learning,,,3,,,,10-13 July 2006,10-13 July 2006,IEEE,IEEE Conferences
Distributed Collaborative Control Using Wireless Sensor and Actuator Networks,X. Cao; J. Chen; Y. Xiao; Y. Sun,NA; NA; NA; NA,2008 Second International Conference on Future Generation Communication and Networking,30-Dec-08,2008,1,,3,6,"Wireless sensor and actuator networks (WSANs) in which actuators perform actuation based on sensory information exhibit great potential in environment control, building automation, [::agriculture::], etc. In this paper, we focus on the problem of designing control methods for actuators to control the environment and meet user requirements based only on local sensory information. A novel distributed collaborative control strategy is proposed and shows good performance under system noises and communication unreliability.",2153-1447;2153-1463,978-0-7695-3431,10.1109/FGCN.2008.20,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4734046,wireless sensor and actuator networks;distributed control;actuators collaboration,Wireless sensor networks;Collaboration;Distributed control;Actuators;Automatic control;Communication system control;Buildings;Automation;Agriculture;Design methodology,control engineering computing;distributed control;environmental management;groupware;wireless sensor networks,distributed collaborative control;wireless sensor and actuator networks;environment control;building automation;agriculture;user requirements;local sensory information;system noises;communication unreliability,,5,10,,,,13-15 Dec. 2008,13-15 Dec. 2008,IEEE,IEEE Conferences
The Practice of Collaborative Learning Strategy in Logistics Engineering Teaching under Network Circumstance,Y. Ye; H. Luo,NA; NA,2009 International Conference on Computational Intelligence and Software Engineering,28-Dec-09,2009,,,1,4,"One of the key challenges in the promotion of Web-based learning is the development of effective collaborative learning environments. Empirical studies have more recently started to focus less on establishing parameters for effective collaboration and more on trying to understand the role which such variables play in mediating interaction. The procedures and methods of collaborative learning mode, supported by computers in logistics engineering teaching under network circumstance are introduced in this paper. We propose a logistics engineering-based learning models and frameworks. The task-based collaborative learning mode, as the writers have proposed, is convenient for teachers to guide and supervise the students. This mode is advantageous to create a better learning circumstance and develop students' over all qualities.",,978-1-4244-4507,10.1109/CISE.2009.5365268,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5365268,,Collaborative work;Logistics;Education;Collaboration;Agricultural engineering;Agriculture;Computer networks;Environmental economics;Computer science;Application software,computer aided instruction;engineering education;groupware;teaching,logistics engineering teaching;network circumstance;Web-based learning;collaboration;mediating interaction;logistics engineering-based learning model;task-based collaborative learning,,,11,,,,11-13 Dec. 2009,11-13 Dec. 2009,IEEE,IEEE Conferences
Effective Materials for Abstract Words in Foreign Vocabulary Learning,T. Kayama; K. Kaneko; H. Miyakoda; M. Ishikawa,NA; NA; NA; NA,"2010 6th IEEE International Conference on Wireless, Mobile, and Ubiquitous Technologies in Education",3-Jun-10,2010,,,207,209,"In an autonomous and collaborative learning environment where learners participate in learning material creation, it is difficult to accumulate materials for abstract words. In this study, we first define the abstraction level of words as well as its measurement method. Next, we prove that learners feel it difficult to create materials for abstract words. Finally, we pre-pare materials based on still images and movies, and compare their learning effect with respect to the abstraction levels of corresponding words to find effective materials for abstract words.",,978-1-4244-6428-9978-1-4244-6427-2978-0-7695-3992,10.1109/WMUTE.2010.46,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5476568,foreign language;mobile learning;e-learning,Vocabulary;Motion pictures;Educational technology;Agriculture;Educational institutions;Collaborative work;Electronic learning;Mobile handsets;Learning systems;Portable media players,computer aided instruction;groupware;mobile computing;vocabulary,abstract words;foreign vocabulary learning;collaborative learning environment;learning material creation;word abstraction level;word measurement method,,1,6,,,,12-16 April 2010,12-16 April 2010,IEEE,IEEE Conferences
An objective function for performance measurement of human-robot target recognition systems in unstructured environments,A. Bechar; Y. Edan; J. Meyer,"Inst. of Agric. Eng., Agric. Res. Organ., Bet Dagan, Israel; NA; NA","2004 IEEE International Conference on Systems, Man and Cybernetics (IEEE Cat. No.04CH37583)",7-Mar-05,2004,1,,118,123 vol.1,"Robotic systems for unstructured environments need to cope with rapid changes in time and space, inherent uncertainty, and generate unpredictable and dynamic situations, resulting in lack of information, due to inadequate sensor accuracy and computational limitations. Introduction of a human operator (HO) into the system can help simplify the robotic system and ensure improved performance. In the current study we developed an objective function for different levels of HO-robot collaboration in a target recognition task. The objective function considers several HO and robot parameters, which contribute to the overall performance in each level of collaboration. Results indicate that HO-robot collaboration improves system performance in many conditions. The optimal collaboration level depends on image complexity and on robot and HO characteristics. Some of the latter have to be assessed through behavioral research on HOs.",1062-922X,0-7803-8566,10.1109/ICSMC.2004.1398284,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1398284,,Measurement;Target recognition;Collaboration;Robotics and automation;Service robots;Robot sensing systems;Orbital robotics;Humans;Vehicle dynamics;Agriculture,performance evaluation;object recognition;groupware;robot vision,performance measurement;human-robot target recognition system;unstructured environments;human operator robot collaboration;image complexity,,2,6,,,,10-13 Oct. 2004,10-13 Oct. 2004,IEEE,IEEE Conferences
CMC and the question of democratisation: a university field study,D. Cecez-Kecmanovic; L. Treleaven; D. Moodie,"Fac. of Manage., Western Sydney Univ., Richmond, NSW, Australia; Fac. of Manage., Western Sydney Univ., Richmond, NSW, Australia; NA",Proceedings of the 33rd Annual Hawaii International Conference on System Sciences,6-Aug-02,2000,,,10 pp. vol.1,,"The potential of computer mediated communication (CMC) to enable new forms of social interaction and foster democratisation of decision making has raised much interest but has been challenged by contradictory research results. Conceived as a tool, CMC was examined in terms of its social effects, thus indicating a degree of technological determinism. We explore CMC as an extension of a productive social space of linguistically-mediated interaction, drawing on J. Habermas's (1984; 1987) theory of communicative action. By examining the evidence from a field study of a university, we identify how participants appropriate CMC to produce a consultative discourse motivated by divergent agendas. This investigation helps us better understand communicative practice and concurrent tendencies of CMC towards encouraging and obstructing democratisation.",,0-7695-0493,10.1109/HICSS.2000.926590,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=926590,,Environmental management;Decision making;Collaborative software;Agriculture;Australia;Electrical capacitance tomography;Tellurium;Computer mediated communication;Communications technology;Electronic mail,groupware;interactive systems;user interfaces;human factors;social aspects of automation,democratisation;university field study;CMC;computer mediated communication;social interaction;decision making;social effects;technological determinism;productive social space;linguistically-mediated interaction;communicative action theory;consultative discourse;divergent agendas;communicative practice;concurrent tendencies,,1,34,,,,7-7 Jan. 2000,7-7 Jan. 2000,IEEE,IEEE Conferences
A Collaborative Task Modeling Approach Based on Extended GOMS,L. Liang; X. Deng,NA; NA,2009 International Conference on Electronic Computer Technology,27-Feb-09,2009,,,375,378,"Usability evaluation is traditionally used in the late stage of software development process. However, to some high-cost complex distributed collaborative software, such late-usability-evaluation or single-user-oriented usability inspection are unsuitable in modern situation. The early stage of evaluation always relies on a task model (interface model) to simulate the actions of real user. However, the existing task analysis models neither provide enough support to the high-level use-context, nor address the low-level description of the basic unit of collaborative behavior (such two level factors always have great effect on the usability of collaborative software). Thus, this paper analyzed the limitation of the traditional GOMS method, and then put forward a task modeling approach based on GOMS to fit usability evaluation in collaborative environment. This approach cost less, and is easy to be applied in the early development stage to discover and modify usability problems.",,978-0-7695-3559,10.1109/ICECT.2009.88,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4795987,cooperative task simulation;GOMS;usability evaluation,Usability;Collaborative software;Inspection;Application software;Costs;International collaboration;Analytical models;ISO standards;Agricultural engineering;Agriculture,groupware;software engineering;software performance evaluation,collaborative task modeling approach;extended GOMS;software development process;distributed collaborative software;task analysis models;single-user-oriented usability inspection;late-usability-evaluation;high-level use-context;low-level description,,,15,,,,20-22 Feb. 2009,20-22 Feb. 2009,IEEE,IEEE Conferences
"Construct Innovative Laboratory, Promote Quality-Oriented Education",L. Ding; X. Li; J. LÃ»,NA; NA; NA,2008 International Workshop on Education Technology and Training & 2008 International Workshop on Geoscience and Remote Sensing,10-Jun-09,2008,1,,115,118,"The rapid development of science and technology provides better educational environment and conditions for both learners and teachers. Nowadays quality-oriented education is advocated in China, which aims at cultivating all-round developed students. Collaborative learning helps to promote quality-oriented education and studentspsila all-around development. Constructing innovative laboratory is a nice way to achieve collaborative learning. This paper probes into constructing a more interesting and efficient learning environment through mobile robotics, which provides a motivating and innovative platform for performing laboratory experiments. Innovative experiments enable students to have better understanding of multidiscipline. Innovative design process also constructs efficient collaborative learning environment to cultivate studentspsila group spirit, creativity, collaboration, practicing skill, innate ability and personality. Results indicate that students enjoy learning through innovative experiments.",,978-0-7695-3563,10.1109/ETTandGRS.2008.223,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5070112,innovative laboratory;quality-oriented education;collaborative learning;creativity,Laboratories;Educational technology;Computer science education;Collaborative work;Control engineering education;Service robots;Agriculture;Agricultural engineering;Mobile robots;Probes,computer aided instruction;groupware;innovation management;laboratories;student experiments,construct innovative laboratory;quality-oriented education;educational environment;collaborative learning;learning environment;mobile robotics;laboratory experiments;innovative experiments;innovative design process,,,9,,,,21-22 Dec. 2008,21-22 Dec. 2008,IEEE,IEEE Conferences
Intelligent knowledge sharing for agricultural information,C. J. Kolte; A. Shrivas,"Department of Computer Engineering, Vidyalankar Institute of Technology, Mumbai, India; Department of Computer Engineering, Vidyalankar Institute of Technology, Mumbai, India",2017 International Conference on Trends in Electronics and Informatics (ICEI),22-Feb-18,2017,,,153,157,"In collaborative environments, users may try to acquire required similar information on the Web in order to gain knowledge in one domain. For example, in an organization several departments may successively need to buy business intelligence software and employees may have studied online about different business intelligence tools and their features independently. It will be beneficial to get them connected and share learned knowledge. We investigate fine-grained knowledge sharing in collaborative environments. A two-step framework is proposed for mining fine-grained knowledge: (a) Web surfing data is clustered into categories by a non-parametric generative model; (b) a Support Vector Machine model is developed to mine fine-grained aspects in each task. Finally, the classic expert search method is applied to the mined results for knowledge sharing. Web surfing Agricultural data is collected to show that the fine-grained aspect mining framework works as expected and outperforms baselines. The search accuracy improves significantly when it is integrated with expert search, in comparison with applying the classic expert search method directly on Web surfing data.",,978-1-5090-4257-9978-1-5090-4258,10.1109/ICOEI.2017.8300906,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8300906,Non-parametric generative model;Support Vector Machine Model,Support vector machines;Text categorization;Training;Feature extraction;Blogs;Task analysis;Classification algorithms,agriculture;business data processing;competitive intelligence;data mining;groupware;Internet;knowledge management;support vector machines,agricultural information;collaborative environments;business intelligence software;employees;share learned knowledge;fine-grained knowledge;Web surfing data;nonparametric generative model;Support Vector Machine model;fine-grained aspects;classic expert search method;mined results;knowledge sharing;Web surfing Agricultural data;fine-grained aspect mining framework;business intelligence tools;intelligent knowledge sharing,,,12,,,,11-12 May 2017,11-12 May 2017,IEEE,IEEE Conferences
Development of software with cloud computing in 3TZ collaborative team environment,Z. Chaczko; S. Aslanzadeh; R. Klempous,"Faculty of Engineering and IT, University of Technology (UTS), Sydney, NSW, Australia; Faculty of Engineering and IT, University of Technology (UTS), Sydney, NSW, Australia; ICECRE, Wroc&#x0142;aw University of Technology, Wroclaw, Poland",7th International Conference on Broadband Communications and Biomedical Applications,14-Jun-12,2011,,,318,323,"In the global economy, we have seen a decrease in the barriers towards communication across the globe along with an increase of service availability to support this communication. Software development is one discipline that is capable of effectively utilizing and benefiting from global collaboration prospect lent by ever increasing capability of information and communication technology. 24-hour continues development is ideal for application towards tasks that have hard-deadlines or require work completed as soon as possible. This article will mainly focus on introducing 24/7 global models that can be applied in cloud environment used in three different time zones. The case study related to developing agricultural software has been investigated in this article.",,978-1-4673-0769-7978-1-4673-0768,10.1109/IB2Com.2011.6217935,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6217935,Cloud Computing;Distributed Software Services;3TZ environment,Sensors;Business;Software;Availability;Monitoring;Delay;Throughput,agriculture;cloud computing;groupware;software engineering,software development;cloud computing;3TZ collaborative team environment;information-and-communication technology;agricultural software;distributed software services;global models;time zones,,5,15,,,,21-24 Nov. 2011,21-24 Nov. 2011,IEEE,IEEE Conferences
The history of hacking SIGMA: An autonomous and collaborative vocabulary learning system,K. Kaneko; H. Miyakoda,"Graduate School of Engineering, Tokyo University of [::Agriculture::] and Technology, Koganei-shi, Tokyo 184-8588; Faculty of Liberal Arts, Tsuda College, Kodaira-shi, Tokyo 187-8577",2011 Eighth International Joint Conference on Computer Science and Software Engineering (JCSSE),23-Jun-11,2011,,,426,431,"In this paper, we recapitulate the history of hacking the SIGMA system, an autonomous and collaborative vocabulary learning system, over five years. The results obtained from various evaluation experiments have shown that (1) the vocabulary learning materials created by the SIGMA system are effective in enhancing vocabulary attainment; (2) the materials created not only by instructors but by the learners themselves are effective as learning tools; (3) the evaluation results that learners share in the system are actually helpful in allowing the users to select materials that enhance vocabulary learning.",,978-1-4577-0687-5978-1-4577-0686-8978-1-4577-0685,10.1109/JCSSE.2011.5930159,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5930159,learning material;language learning;educational system;mobile learning;e-learning,,educational computing;groupware;mobile computing;vocabulary,SIGMA system;autonomous vocabulary learning system;collaborative vocabulary learning system;vocabulary attainment enhancement;educational system;mobile learning;e-learning;learning tools,,1,33,,,,11-13 May 2011,11-13 May 2011,IEEE,IEEE Conferences
Design and evaluation of a wiki-based collaborative learning environment for colleges computers compulsory education,L. Jiake; Z. Wei; W. Xuan,"The college of Computer and Information Science, Southwest University, Beibei, Chongqing, P.R. China, 400716; The college of Computer and Information Science, Southwest University, Beibei, Chongqing, P.R. China, 400716; Key Laboratory of Chongqing Digital [::agriculture::], Southwest University, Beibei, Chongqing, P.R. China, 400716",2010 5th International Conference on Computer Science & Education,30-Sep-10,2010,,,695,699,"Collaboration becomes an essential competency in the current knowledge society. College computers compulsory education, which aims to train and develop students from non-computer science disciplines computer application skills, is one of the most important parts of higher education in china. Although a lot of advanced technologies and learning platforms over the past years have been introduction in this field, most of them however just focused on interactive, personalized instruction effectiveness and little attention has been given to examine how collective learning can be offered, coordinated and assessed. As one of the most popular web2.0 technologies, wiki is believed to have large potential for fostering collaborative group work and creating learning resources. In this study, a Wiki-based collaborative learning environment for one college compulsory course entitled â€œVisual Basic Programming Designâ€ù was presented. Three important learning strategies including collaborative and knowledge sharing, monitoring learning process and individual accountability were adopted to assist the development of a collaborative learning community. Evaluations results showed that wiki-based learning environment can effectively contribute to group collaboration, coordination and monitoring learning process. And it can help to control of organizations or instructors to individuals (students).",,978-1-4244-6005-2978-1-4244-6002-1978-1-4244-6004,10.1109/ICCSE.2010.5593516,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5593516,collaborative learning;wiki;colleges computers compulsory education;design and evaluation,Collaborative work;Collaboration;Monitoring;History;Computers;Educational institutions,computer aided instruction;computer science education;educational institutions;further education;groupware;Internet;Visual BASIC,Wiki based collaborative learning environment;college computer compulsory education;noncomputer science discipline;computer application skill;higher education;China;Web2.0 technology;learning resource;visual basic programming design;knowledge sharing;monitoring learning process;individual accountability,,,17,,,,24-27 Aug. 2010,24-27 Aug. 2010,IEEE,IEEE Conferences
Deriving Roles and Groups from Activities and Habitats,P. Nowack; J. Appel; K. Nielsen,The Maersk Mc-Kinney Moller Institute University of Southern Denmark nowack@mip.sdu.dk; NA; NA,"2005 IEEE International Conference on Systems, Man and Cybernetics",10-Jan-06,2005,2,,1580,1585,"We consider the experimental development of collaborating robots able to work within fields of crops. The design of the system combines traditional approaches such as multi-agent systems with novel approaches such as the identification and design of informational and physical activities and habitats. We propose to design efficient organizations of robot-agents based on group-based roles. The groups and roles are defined based on the activities and habitats, in which the robot-agents participate",1062-922X,0-7803-9298,10.1109/ICSMC.2005.1571373,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1571373,multi-agent systems;robots;conceptual abstraction;agent organizations;group-based roles,Robot kinematics;Crops;Collaborative work;Collaboration;Multiagent systems;Prototypes;Fertilizers;Agriculture;Monitoring;Spraying,groupware;multi-agent systems;multi-robot systems,multiagent systems;robot collaboration;robot-agents organization;group-based roles,,,10,,,,12-12 Oct. 2005,12-12 Oct. 2005,IEEE,IEEE Conferences
